Duration (in seconds),"Hoja de Información



Título del estudio: Opiniones sobre políticos Investigadores: Santiago Ventura (Universidad de Warwick), Tim Mullett (Universidad de Warwick), y Nick Chater (Universidad de Warwick).



Financiamiento: Esta investigación es financiada por la Warwick Business School (Universidad de Warwick).



Objetivos y duración del proyecto: Este estudio tiene como objetivo entender mejor las opiniones de las personas sobre políticos de Chile. La duración estimada del estudio es de 2 a 3 minutos.



Metodología y participación: En este estudio se te preguntará tu opinión sobre un político chileno y se te pedirá completar un breve cuestionario demográfico (e.g. edad, género) y finalmente, por quién crees que votarás en las elecciones presidenciales.



Riesgos y beneficios: Participar en este estudio no implica riesgos mayores que los que se encuentran en la vida diaria. No podemos garantizar que recibirás beneficios por participar.



Participación voluntaria: Tu participación es completamente voluntaria. Puedes retirarte en cualquier momento, simplemente cerrando el navegador. Sin embargo, solo podremos pagarte si completas la encuesta.



Privacidad: Para proteger tu privacidad, no se recogerá información directamente identificable (e.g. nombre, correo electrónico o dirección). Los datos serán anonimizados lo antes posible tras la recolección y no será posible retirarlos después de este punto.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es capaz.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es un/a experto/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] cumple muy bien con su deber.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - Si los ciudadanos necesitan ayuda, [Field-Politician] hará lo posible para ayudarles.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] actúa en interés de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] está genuinamente interesado/a en el bienestar de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] tiene un acercamiento sincero con los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es sincero/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es honesto/a.","¿Durante esta encuesta, sobre qué político estabas pensando?","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Selected Choice","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Otro - Text",¿Dirías que eres fuertemente de Derecha o no tan fuertemente de Derecha?,¿Dirías que eres fuertemente de Izquierda o no tan fuertemente de Izquierda?,"Si tuvieras que elegir, ¿te sentirías más cercano con la Izquierda o la Derecha?",¿Qué tan importante es tu identificación política para tí?,¿Con qué género te identificas? - Selected Choice,¿Qué edad tienes?,"Las elecciones presidenciales se llevarán a cabo el próximo domingo 16 de Noviembre, ¿por quién planeas votar?",rid,Politician,MatrixResponses,Consent,Attention
150,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,53,Jeannette Jara Román,6915dced-454c-5391-f2c2-34c4ef1da2c6,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
228,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Poco importante,Masculino,28,Jeannette Jara Román,6915dcfd-4ebe-21d0-d8e9-45cc51de9dca,Jeannette Jara,Totalmente de acuerdo,1,1
70,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Masculino,35,Harlod Mayne-Nicholls Sécul,6915dd03-aa41-c11c-1a54-ca99a57872d8,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
154,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,49,José Antonio Kast Rist,6915dd08-5da6-a5d4-86ed-c6fd6f73e2f4,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
157,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Masculino,43,José Antonio Kast Rist,6915dd07-06b4-464d-a683-8717bb1f66d1,Jeannette Jara,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
101,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Nada importante,Masculino,37,Jeannette Jara Román,6915dd33-032b-6750-611a-7b68efef28cd,José Antonio Kast,Totalmente en desacuerdo,1,1
1042,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,35,José Antonio Kast Rist,6915dd72-7c00-4c7e-0997-deaa11e133b6,José Antonio Kast,Algo de acuerdo,1,1
140,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Extremadamente importante,Masculino,51,Franco Parisi Fernández,6915dd75-ecf9-efa9-2193-03aaf2a779f5,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
188,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,21,José Antonio Kast Rist,6915dd83-81eb-9fda-e0ac-d87fcca32e90,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
86,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Muy importante,Femenino,39,Jeannette Jara Román,6915dd88-ed4d-8642-90fd-5d2d83c1a84d,José Antonio Kast,Totalmente en desacuerdo,1,1
172,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,23,José Antonio Kast Rist,6915dd8e-5b42-c0dc-ebeb-33cf2f6ed6e6,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
68,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Femenino,25,Evelyn Matthei Fornet,6915dd90-2a0b-f231-4373-f28bd1c6a333,Jeannette Jara,Totalmente en desacuerdo,1,1
222,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,30,José Antonio Kast Rist,6915dd93-6ba9-36e3-97aa-f32650a74fd6,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo, Algo en desacuerdo",1,1
167,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,34,Jeannette Jara Román,6915dd95-9d5b-44f8-c834-f88ea34db609,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
94,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,39,José Antonio Kast Rist,6915dd9c-3745-8216-8710-4498ce9b9d36,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
90,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,18,José Antonio Kast Rist,6915dda6-bb1a-9b77-690c-7b4c9278cb93,Jeannette Jara,Totalmente en desacuerdo,1,1
271,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Masculino,56,Franco Parisi Fernández,6915ddad-ef40-0536-1571-9cda5269fb35,Jeannette Jara,"Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
242,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Muy importante,Masculino,52,Johannes Kaiser Barents-von Hohenhagen,6915ddbb-1e7d-5a07-2409-f980c75cb2ff,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Algo de acuerdo",1,1
90,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Poco importante,Femenino,22,Jeannette Jara Román,6915ddbe-83c1-5c83-1385-e4b7c828b01e,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
89,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Masculino,39,Evelyn Matthei Fornet,6915ddc1-ab2b-93a7-6c9d-aa200dc42b38,José Antonio Kast,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Totalmente en desacuerdo",1,1
114,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,34,José Antonio Kast Rist,6915ddc0-82f4-0ee0-740f-5cf10f6f179d,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo",1,1
70,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Masculino,35,Jeannette Jara Román,6915ddc8-e432-6f93-8796-0463e0dd7777,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
301,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Femenino,43,Evelyn Matthei Fornet,6915ddc7-78ec-8697-d015-e738a58bdeee,Jeannette Jara,Algo en desacuerdo,1,1
124,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Otro,Centro izquierda ,,,Más cercano con la Izquierda,Muy importante,Femenino,43,Jeannette Jara Román,6915ddd7-7db8-099e-0512-d26e3a6c3733,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
216,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,46,José Antonio Kast Rist,6915dde0-56a5-1895-1cb3-fe12884387bc,José Antonio Kast,Totalmente de acuerdo,1,1
126,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Nada importante,Femenino,22,Johannes Kaiser Barents-von Hohenhagen,6915dde5-7b0e-2c0b-ee67-745610e6b3a5,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
116,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,36,Evelyn Matthei Fornet,6915dde6-5f12-631f-99c2-fbd968db8d2d,Jeannette Jara,Totalmente en desacuerdo,1,1
118,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,18,Franco Parisi Fernández,6915ddea-5df9-7a56-7a22-3a5ddfe2ecb8,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Totalmente en desacuerdo, Algo en desacuerdo",1,1
130,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Otro,,,,Ninguno,Nada importante,Femenino,20,Evelyn Matthei Fornet,6915ddea-a5b3-f54f-7022-64ba8da0be74,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
72,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Femenino,24,José Antonio Kast Rist,6915ddeb-2f3a-580d-646b-348d6378f731,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
161,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Masculino,36,Franco Parisi Fernández,6915ddf2-c1a6-9b36-de4b-c4b8ca46b88a,José Antonio Kast,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
256,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Femenino,31,Johannes Kaiser Barents-von Hohenhagen,6915ddf9-8fde-3527-6238-1f0758e16f58,Jeannette Jara,"Totalmente en desacuerdo, Algo de acuerdo",1,1
152,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Femenino,62,Johannes Kaiser Barents-von Hohenhagen,6915ddff-2213-8987-2f16-20b449390e50,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Algo en desacuerdo",1,1
207,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,50,Franco Parisi Fernández,6915de00-c1cb-ddf3-96a4-5042b7f4b154,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
142,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Otro,Centro,,,Ninguno,Extremadamente importante,Masculino,38,Evelyn Matthei Fornet,6915de01-1286-9dfd-8b91-de9350481695,Jeannette Jara,"Algo de acuerdo, Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
842,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Femenino,46,Harlod Mayne-Nicholls Sécul,6915de10-2d2f-c556-b6b0-a88307d80c77,Jeannette Jara,"Algo de acuerdo, Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
80,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Poco importante,Femenino,37,Jeannette Jara Román,6915de20-73df-8d93-e7a4-e8465c5aef2d,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
93,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,62,José Antonio Kast Rist,6915de22-f75f-4244-7019-67e87e534240,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
218,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Femenino,43,Jeannette Jara Román,6915de25-8f7a-aefc-55c7-b4a03d1f5f77,José Antonio Kast,Totalmente en desacuerdo,1,1
254,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,36,Jeannette Jara Román,6915de28-9fc7-304f-47f1-f96d84729666,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
49,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,42,Evelyn Matthei Fornet,6915de3e-718f-ad53-9859-faa00fed857d,Jeannette Jara,Algo en desacuerdo,1,1
282,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Femenino,50,Johannes Kaiser Barents-von Hohenhagen,6915de40-2350-b7ac-5300-a1f245a888f1,José Antonio Kast,Totalmente en desacuerdo,1,1
180,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Moderadamente importante,Femenino,39,Jeannette Jara Román,6915de47-d009-d046-25b7-b78504943853,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
114,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,41,Evelyn Matthei Fornet,6915de4c-8447-c648-21f0-d895a7495454,Jeannette Jara,Algo en desacuerdo,1,1
2246,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Masculino,18,Jeannette Jara Román,6915de54-f8d0-429d-1b7e-8ecdaa34cdf6,José Antonio Kast,Totalmente en desacuerdo,1,1
79,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,50,José Antonio Kast Rist,6915de56-a1b4-6db5-7ea7-58663c9dc239,José Antonio Kast,Totalmente de acuerdo,1,1
